,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D
180,MakeMyTrip,350.0,10%,9/2/2020,MMYT,0.73,4.5
184,Robinhood,340.0,9%,4/26/2022,HOOD,0.48,4.8
186,Blend,340.0,28%,1/10/2023,BLND,-0.16,-9.41
189,Stitch Fix,330.0,15%,6/9/2022,SFIX,-1.56,-20.05
190,Match Group,325.0,13%,5/9/2025,MTCH,2.22,8.2
191,Marvell,320.0,4%,3/21/2023,MRVL,0.08,0.19
192,Chegg,319.0,21%,11/13/2024,CHGG,0.15,9.49
193,Dropbox,315.0,15%,1/13/2021,DBX,-0.35,-1.58
194,Fate Therapeutics,315.0,57%,1/12/2023,FATE,-0.14,-2.39
197,Microsoft,305.0,3%,6/5/2025,MSFT,3.23,0.69
199,Zip,300.0,20%,7/4/2023,ZIP,0.31,1.74
200,Zillow,300.0,5%,10/26/2022,Z,0.19,0.62
201,Playtika,300.0,10%,1/11/2024,PLTK,-0.18,-2.54
206,Teladoc Health,300.0,6%,1/18/2023,TDOC,1.3,4.93
207,AppLovin,300.0,12%,6/27/2022,APP,-3.36,-8.76
208,Netflix,300.0,3%,6/23/2022,NFLX,-2.11,-1.16
210,Okta,300.0,5%,2/2/2023,OKTA,-4.05,-4.98
211,Opendoor,300.0,17%,11/7/2024,OPEN,-0.1,-5.35
214,Viasat,300.0,4%,4/25/2023,VSAT,3.44,10.33
215,Akamai,290.0,3%,5/10/2023,AKAM,0.38,0.44
216,Unity,284.0,3%,1/17/2023,U,2.76,8.52
220,Vroom,275.0,20%,1/19/2023,VRME,0.23,13.94
223,Twist Bioscience,270.0,25%,5/5/2023,TWST,0.32,2.48
224,Vroom,270.0,14%,5/9/2022,VRME,0.08,3.05
225,ZipRecruiter,270.0,20%,5/31/2023,ZIP,0.67,4.33
226,Nutanix,270.0,4%,8/9/2022,NTNX,1.25,7.5
228,Unity,265.0,4%,11/29/2023,U,2.27,7.48
232,Autodesk,250.0,2%,2/3/2023,ADSK,-2.34,-1.05
233,Akamai,250.0,2%,11/7/2024,AKAM,-14.32,-13.72
234,Sonder,250.0,21%,6/8/2022,SOND,-9.2,-23.59
235,Playtika,250.0,6%,5/31/2022,PLTK,-0.73,-5.47
237,Chegg,248.0,22%,5/12/2025,CHGG,0.16,21.62
238,Pegasystems,245.0,4%,1/4/2023,PEGA,-0.26,-1.5
239,UiPath,241.0,6%,11/16/2022,PATH,-1.16,-8.95
240,Pegasystems,240.0,4%,8/31/2023,PEGA,-0.12,-0.5
241,Bumble,240.0,30%,6/25/2025,BMBL,0.07,1.07
242,The RealReal,235.0,10%,4/14/2020,REAL,1.89,23.65
243,The RealReal,230.0,7%,2/16/2023,REAL,-0.29,-18.01
244,Uber,225.0,25%,6/27/2020,UBER,1.07,3.61
245,Etsy,225.0,11%,12/13/2023,ETSY,0.49,0.58
246,Confluent,221.0,8%,1/26/2023,CFLT,0.84,3.77
248,Blend,220.0,12%,8/16/2022,BLND,-0.7,-19.72
249,TrueCar,219.0,30%,5/28/2020,TRUE,0.15,5.64
251,UiPath,210.0,5%,6/27/2022,PATH,-2.65,-12.41
253,SoundHound,200.0,50%,1/5/2023,SOUN,-0.06,-5.45
254,23andMe,200.0,40%,11/11/2024,MEHCQ,-1.61,-34.92
257,Spotify,200.0,2%,6/5/2023,SPOT,-5.86,-3.75
258,Sonos,200.0,12%,2/5/2025,SONO,-0.46,-3.23
259,Beyond Meat,200.0,19%,11/6/2023,BYND,0.03,0.44
260,VTEX,200.0,13%,5/26/2022,VTEX,0.34,7.89
261,Beyond Meat,200.0,19%,10/14/2022,BYND,0.2,1.54
262,Payoneer,200.0,10%,6/27/2023,PAYO,0.09,1.88
264,Blend,200.0,10%,4/19/2022,BLND,-0.21,-4.2
