,Company,# Laid Off,%,Stage,Date Added,Ticker
4041,Maven,31.0,9%,Post-IPO,4/7/2020,MAVEN.ST
1882,REE Automotive,31.0,11%,Post-IPO,2/10/2023,REE
2108,RingCentral,30.0,,Post-IPO,1/17/2023,RNG
3520,LivePerson,30.0,,Post-IPO,1/21/2023,LPSN
1721,Samsung,30.0,,Post-IPO,3/15/2023,005930.KS
1753,Airbnb,30.0,,Post-IPO,3/3/2023,ABNB
357,Lyft,30.0,1%,Post-IPO,9/4/2024,LYFT
3555,Shopify,30.0,,Post-IPO,8/14/2020,SHOP
3548,Superloop,30.0,,Post-IPO,6/26/2022,SLC.XA
776,Amazon,30.0,,Post-IPO,1/19/2024,AMZN
3380,Latch,30.0,6%,Post-IPO,5/11/2022,LTCH
1477,Qualcomm,30.0,,Post-IPO,6/2/2023,QCOM
1074,Roblox,30.0,,Post-IPO,9/21/2023,RBLX
1117,Absci,30.0,15%,Post-IPO,9/7/2023,ABSI
2754,Netflix,30.0,,Post-IPO,9/16/2022,NFLX
541,Bakkt,28.0,,Post-IPO,5/3/2024,BKKT
3400,Netflix,25.0,,Post-IPO,5/11/2022,NFLX
2825,Okta,24.0,,Post-IPO,8/26/2022,OKTA
1666,iCAD,23.0,28%,Post-IPO,4/7/2023,3IC.F
3426,Legible,23.0,38%,Post-IPO,4/15/2022,LEBGF
959,Zillow,23.0,,Post-IPO,11/8/2023,Z
2978,Allbirds,23.0,,Post-IPO,7/30/2022,BIRD
227,Canoo,20.0,,Post-IPO,12/12/2024,GOEV
141,eBay,20.0,,Post-IPO,2/27/2025,EBAY
953,Snap,20.0,,Post-IPO,11/8/2023,SNAP
887,Rivian,20.0,,Post-IPO,12/21/2023,RIVN
861,eBay,20.0,,Post-IPO,12/18/2023,EBAY
2912,Perion,20.0,5%,Post-IPO,8/8/2022,PERI
2871,ContraFect,16.0,37%,Post-IPO,8/15/2022,CFRXQ
1655,Spotify,15.0,,Post-IPO,3/31/2023,SPOT
316,PubMatic,12.0,1%,Post-IPO,10/7/2024,PUBM
1290,Peloton,11.0,,Post-IPO,7/17/2023,PTON
11,Amdocs,,,Post-IPO,8/18/2025,DOX
15,Peloton,,6%,Post-IPO,8/9/2025,PTON
26,WiseTech,,,Post-IPO,7/23/2025,17W.F
29,Rocket Companies,,2%,Post-IPO,7/22/2025,RKT
30,Amazon,,,Post-IPO,7/18/2025,AMZN
51,Intel,,,Post-IPO,6/25/2025,INTC
52,Microsoft,,,Post-IPO,6/25/2025,MSFT
56,Intel,,,Post-IPO,7/16/2025,INTC
66,nCino,,7%,Post-IPO,5/28/2025,NCNO
71,Luminar,,,Post-IPO,5/26/2025,LAZR
72,Blink Charging,,20%,Post-IPO,5/22/2025,BLNK
90,Stem,,27%,Post-IPO,5/3/2025,STEM
91,Expedia,,3%,Post-IPO,5/2/2025,EXPE
103,Sonder,,,Post-IPO,4/16/2025,SOND
105,Google,,,Post-IPO,4/16/2025,GOOG
115,2U,,,Post-IPO,4/1/2025,2U2.BE
126,Arrival,,100%,Post-IPO,3/12/2025,ARVLF
139,Google,,,Post-IPO,2/27/2025,GOOG
143,Dayforce,,5%,Post-IPO,2/27/2025,DAY
144,Expedia,,,Post-IPO,2/27/2025,EXPE
148,NetEase,,,Post-IPO,2/23/2025,NTES
153,Riskified,,,Post-IPO,2/21/2025,RSKD
162,Unity,,,Post-IPO,2/12/2025,U
185,Amazon,,,Post-IPO,2/2/2025,AMZN
199,Microsoft,,,Post-IPO,1/14/2025,MSFT
202,Boozt,,10%,Post-IPO,2/2/2025,BOK.F
205,Zillow,,,Post-IPO,1/14/2025,Z
211,Microsoft,,,Post-IPO,1/11/2025,MSFT
223,Cint,,12%,Post-IPO,2/8/2025,CINT
239,2U,,,Post-IPO,12/7/2024,2U2.BE
246,Sprout Social,,,Post-IPO,12/13/2024,SPT
267,BigCommerce,,,Post-IPO,11/8/2024,US08975P1084.SG
297,Upwork,,21%,Post-IPO,10/23/2024,UPWK
302,Meta,,,Post-IPO,10/16/2024,META
317,Zapata Computing,,100%,Post-IPO,10/14/2024,ZPTA
332,F5,,,Post-IPO,9/26/2024,FFIV
334,Olo,,9%,Post-IPO,9/23/2024,OLO
337,Luminar,,15%,Post-IPO,9/23/2024,LAZR
343,IBM,,,Post-IPO,9/20/2024,IBM
385,Mister Spex,,10%,Post-IPO,8/15/2024,MRX.F
398,Fastly,,11%,Post-IPO,8/8/2024,FSLY
400,LegalZoom,,15%,Post-IPO,8/8/2024,LZ
403,Teradata,,13%,Post-IPO,8/7/2024,TDC
406,Dell,,,Post-IPO,8/5/2024,DELL
413,Match Group,,6%,Post-IPO,8/1/2024,MTCH
414,NerdWallet,,15%,Post-IPO,7/31/2024,NRDS
442,Microsoft,,,Post-IPO,7/7/2024,MSFT
448,Cint,,,Post-IPO,7/2/2024,CINT
454,eBay,,,Post-IPO,6/28/2024,EBAY
458,Ginkgo Bioworks,,,Post-IPO,6/18/2024,DNA
478,Medtronic,,,Post-IPO,6/14/2024,MDT
493,Yext,,12%,Post-IPO,6/5/2024,YEXT
504,Funding Circle,,,Post-IPO,6/3/2024,FCA.F
534,Kinaxis,,6%,Post-IPO,5/22/2024,KXS.TO
550,Google,,,Post-IPO,4/30/2024,GOOG
559,Expedia,,,Post-IPO,4/25/2024,EXPE
570,Google,,,Post-IPO,4/17/2024,GOOG
571,Rivian,,1%,Post-IPO,4/17/2024,RIVN
594,Amazon,,,Post-IPO,4/3/2024,AMZN
608,GoPro,,4%,Post-IPO,4/8/2024,GPRO
624,IBM,,,Post-IPO,3/17/2024,IBM
631,Meta,,,Post-IPO,3/8/2024,META
653,Apple,,,Post-IPO,2/27/2024,AAPL
662,BuzzFeed,,16%,Post-IPO,2/22/2024,BZFD
663,Rivian,,10%,Post-IPO,2/21/2024,RIVN
695,Getaround,,30%,Post-IPO,2/8/2024,GETR
699,Tenable,,5%,Post-IPO,2/8/2024,TENB
737,Procore,,4%,Post-IPO,2/28/2024,P2CO34.SA
752,Jamf,,6%,Post-IPO,1/25/2024,JAMF
756,Aurora,,3%,Post-IPO,1/25/2024,ACB
758,HubSpot,,,Post-IPO,1/25/2024,HUBS
771,2U,,,Post-IPO,1/23/2024,2U10.BE
772,Google,,,Post-IPO,1/23/2024,GOOG
778,Stitch Fix,,,Post-IPO,1/25/2024,SFIX
784,Google,,,Post-IPO,1/30/2024,GOOG
800,888,,,Post-IPO,1/13/2024,8885.KL
810,Amazon,,,Post-IPO,1/10/2024,AMZN
812,SoFi,,4%,Post-IPO,1/11/2024,SOFI
833,MeridianLink,,9%,Post-IPO,1/13/2024,MLNK
860,Delivery Hero,,,Post-IPO,12/18/2023,DHER.DE
882,SmileDirectClub,,100%,Post-IPO,12/9/2023,SDCCQ
894,Bill.com,,15%,Post-IPO,12/5/2023,0A75.L
903,Twilio,,5%,Post-IPO,12/4/2023,TWLO
907,Domo,,7%,Post-IPO,12/1/2023,DOMO
925,Presto,,17%,Post-IPO,1/13/2024,NPK
928,Amazon,,,Post-IPO,11/17/2023,AMZN
935,Sonos,,,Post-IPO,12/14/2023,SONO
954,Amazon,,,Post-IPO,11/8/2023,AMZN
955,BigCommerce,,7%,Post-IPO,11/9/2023,US08975P1084.SG
957,Google,,,Post-IPO,11/9/2023,GOOG
960,Nextdoor,,25%,Post-IPO,11/7/2023,NXDR
967,NIO,,10%,Post-IPO,11/6/2023,NIO
973,Sportradar,,10%,Post-IPO,1/24/2024,SRAD
1037,Shift,,100%,Post-IPO,10/7/2023,FOUR
1043,Arrival,,25%,Post-IPO,10/10/2023,ARVLF
1047,Bird,,,Post-IPO,10/4/2023,BIRD
1048,Block,,,Post-IPO,10/4/2023,BLK=F
1049,Meta,,,Post-IPO,10/3/2023,META
1064,2U,,,Post-IPO,9/29/2023,2U2.BE
1079,Robinhood,,,Post-IPO,9/24/2023,HOOD
1115,iSpecimen,,20%,Post-IPO,9/9/2023,ISPC
1130,Expedia,,,Post-IPO,9/4/2023,EXPE
1142,SenseTime,,,Post-IPO,8/28/2023,SNTMF
1145,Fortinet,,,Post-IPO,8/26/2023,FTNT
1158,Tempo Automation,,,Post-IPO,8/23/2023,TMPOQ
1183,NCC Group,,,Post-IPO,8/16/2023,NZB.F
1188,Bukalapak,,,Post-IPO,8/9/2023,BKLPF
1199,Dell,,,Post-IPO,8/7/2023,DELL
1204,Astra,,25%,Post-IPO,8/4/2023,AZN
1224,TripAdvisor,,,Post-IPO,8/2/2023,TRIP
1265,Phunware,,,Post-IPO,7/21/2023,PHUN
1277,IBM,,,Post-IPO,7/19/2023,IBM
1291,Bark,,8%,Post-IPO,7/26/2023,BARK
1302,Expedia,,,Post-IPO,7/17/2023,EXPE
1311,Shift,,34%,Post-IPO,7/12/2023,FOUR
1315,Latch,,59%,Post-IPO,7/10/2023,LTCH
1331,Vista Group,,6%,Post-IPO,7/6/2023,VGL.AX
1375,Illumina,,,Post-IPO,6/27/2023,ILMN
1403,Zalando,,,Post-IPO,7/4/2023,ZAL.F
1418,Freshworks,,,Post-IPO,6/8/2023,FRSH
1449,SentinelOne,,5%,Post-IPO,6/1/2023,S
1509,CS Disco,,8%,Post-IPO,5/12/2023,LAW
1518,Marqeta,,15%,Post-IPO,5/10/2023,MQ
1587,Lenovo,,,Post-IPO,4/20/2023,0992.HK
1645,Apple,,,Post-IPO,4/5/2023,AAPL
1659,Kyndryl,,,Post-IPO,3/31/2023,KD
1669,Shift,,30%,Post-IPO,3/29/2023,FOUR
1674,Better Therapeutics,,35%,Post-IPO,3/31/2023,BTTX
1696,Expedia,,,Post-IPO,3/22/2023,EXPE
1739,Take-Two Interactive,,,Post-IPO,3/7/2023,TTWO
1778,MeridianLink,,9%,Post-IPO,2/28/2023,MLNK
1816,Criteo,,,Post-IPO,2/21/2023,CRTO
1818,Zalando,,,Post-IPO,2/21/2023,ZAL.F
1828,Digimarc,,,Post-IPO,2/23/2023,DMRC
1848,Vicarious Surgical,,14%,Post-IPO,2/16/2023,RBOT
1854,Udemy,,10%,Post-IPO,2/14/2023,UDMY
1872,Rigetti Computing,,28%,Post-IPO,2/10/2023,RGTI
1932,Getaround,,10%,Post-IPO,2/2/2023,GETR
1933,NCSoft,,20%,Post-IPO,2/2/2023,036570.KS
1951,Match Group,,8%,Post-IPO,2/1/2023,MTCH
1954,Rivian,,6%,Post-IPO,2/1/2023,RIVN
1982,Quantum SI,,12%,Post-IPO,2/2/2023,QSI
1983,SoFi,,,Post-IPO,1/30/2023,SOFI
2003,Mode Global,,100%,Post-IPO,1/30/2023,0P0001LJX6.F
2017,PagSeguro,,7%,Post-IPO,2/7/2023,PAGS
2029,PagerDuty,,7%,Post-IPO,1/24/2023,PD
2040,Yext,,8%,Post-IPO,1/23/2023,YEXT
2069,Magnite,,6%,Post-IPO,1/19/2023,MGNI
2071,Personalis,,30%,Post-IPO,1/19/2023,PSNL
2074,Wallbox,,15%,Post-IPO,1/19/2023,WBX
2093,Cazoo,,,Post-IPO,1/19/2023,CZOOF
2096,Lucid Diagnostics,,20%,Post-IPO,1/25/2023,LUCD
2113,Oracle,,,Post-IPO,1/27/2023,ORCL
2116,XP,,,Post-IPO,1/27/2023,XP
2133,Carvana,,,Post-IPO,1/14/2023,CVNA
2150,Life360,,14%,Post-IPO,1/12/2023,LIF
2186,Century Therapeutics,,,Post-IPO,1/19/2023,IPSC
2187,Editas Medicine,,20%,Post-IPO,1/19/2023,EDIT
2213,Compass,,,Post-IPO,1/5/2023,COMP
2214,Megaport,,,Post-IPO,1/5/2023,92J.F
2215,Stitch Fix,,20%,Post-IPO,1/5/2023,SFIX
2222,Butterfly Network,,25%,Post-IPO,1/18/2023,BFLY
2223,Vimeo,,11%,Post-IPO,1/4/2023,VMEO
2235,Bilibili,,30%,Post-IPO,12/30/2022,BILI
2251,Xiaomi,,,Post-IPO,12/19/2022,1810.HK
2255, E Inc.,,,Post-IPO,12/19/2022,FCEL
2309,Bakkt,,15%,Post-IPO,12/10/2022,BKKT
2312,Lenovo,,,Post-IPO,12/30/2022,0992.HK
2313,Nerdy,,17%,Post-IPO,12/10/2022,NRDY
2351,Thinkific,,,Post-IPO,12/19/2022,THNC.TO
2366,SQZ Biotech,,60%,Post-IPO,12/10/2022,SQZB
2368,Synlogic,,25%,Post-IPO,12/10/2022,SYBX
2382,Elastic,,13%,Post-IPO,11/30/2022,ESTC
2384,Pinterest,,,Post-IPO,12/1/2022,PINS
2391,Codexis,,18%,Post-IPO,11/29/2022,CDXS
2422,SWVL,,50%,Post-IPO,11/25/2022,SWVL
2428,Natera,,,Post-IPO,11/28/2022,NTRA
2467,D2L,,5%,Post-IPO,11/16/2022,D2L.F
2486,Oatly,,,Post-IPO,11/16/2022,OTLY
2490,Tencent,,,Post-IPO,11/16/2022,0700.HK
2511,Offerpad,,7%,Post-IPO,11/16/2022,OPAD
2539,Coursera,,,Post-IPO,11/9/2022,COUR
2541,RingCentral,,10%,Post-IPO,11/10/2022,RNG
2542,Spotify,,,Post-IPO,11/10/2022,SPOT
2545,Astra,,16%,Post-IPO,11/8/2022,AZN
2571,Affirm,,1%,Post-IPO,11/3/2022,AFRM
2573,LiveRamp,,10%,Post-IPO,11/4/2022,RAMP
2639,Volta,,54%,Post-IPO,10/21/2022,VTA.AS
2644,Arrival,,,Post-IPO,10/21/2022,ARVLF
2657,Microsoft,,,Post-IPO,11/14/2022,MSFT
2699,Spotify,,,Post-IPO,10/6/2022,SPOT
2720,Volta,,10%,Post-IPO,10/3/2022,VTA.AS
2738,Ouster,,10%,Post-IPO,9/24/2022,OUST
2766,Rent the Runway,,24%,Post-IPO,9/12/2022,RENT
2780,BigBear.ai,,7%,Post-IPO,9/8/2022,BBAI
2798,Sea,,,Post-IPO,9/2/2022,SEA
2822,Skillz,,,Post-IPO,8/29/2022,SKLZ
2841,Kogan,,,Post-IPO,8/24/2022,KGN.XA
2872,ThredUp,,15%,Post-IPO,8/16/2022,TDUP
2876,Core Scientific,,10%,Post-IPO,8/12/2022,CORZ
2884,Guidewire,,2%,Post-IPO,8/12/2022,GWRE
2904,Kaltura,,10%,Post-IPO,8/9/2022,KLTR
2905,Shift,,,Post-IPO,8/9/2022,FOUR
2906,Sweetgreen,,,Post-IPO,8/9/2022,SG
2953,Butterfly Network,,10%,Post-IPO,8/3/2022,BFLY
2954,FuboTV,,,Post-IPO,8/3/2022,FUBO
2959,Oracle,,,Post-IPO,11/16/2022,ORCL
2972,MissFresh,,,Post-IPO,7/29/2022,MFLTY
2980,2U,,20%,Post-IPO,7/30/2022,2U2.BE
3007,Owlet,,,Post-IPO,8/2/2022,OWLT
3045,Vimeo,,6%,Post-IPO,7/18/2022,VMEO
3066,Arrival,,30%,Post-IPO,7/14/2022,ARVLF
3074,Microsoft,,,Post-IPO,11/14/2022,MSFT
3092,Twitter,,,Post-IPO,7/7/2022,EBT-USD
3294,Tesla,,10%,Post-IPO,11/9/2022,TSLA
3438,Talis Biomedical,,25%,Post-IPO,6/17/2022,TLIS
3439,Sezzle,,20%,Post-IPO,3/10/2022,SEZL
3473,Casper,,,Post-IPO,9/14/2021,CSPR-USD
3586,OnDeck,,,Post-IPO,7/13/2020,7360.T
3942,Bitfarms,,,Post-IPO,4/8/2020,BITF
